player_hp,honor_score,win_streak,action_taken,reward
68,99,0,1,10.0
60,63,1,1,10.0
47,94,9,1,10.0
18,36,10,2,-6.0666666
3,77,5,0,-10.0
34,69,1,0,10.0
63,6,0,0,10.0
48,23,4,1,10.0
16,67,10,0,-2.1333334
43,54,1,0,10.0
91,88,10,2,-1.7199998
29,2,3,2,5.0
92,91,10,1,-12.04
45,22,10,2,10.0
5,35,10,2,-15.0
98,56,7,1,-15.0
36,47,9,2,10.0
23,12,10,1,15.0
92,60,5,2,-2.04
45,85,7,1,10.0
52,88,4,0,10.0
94,23,1,0,-7.68
98,42,0,0,-10.0
59,100,7,0,10.0
96,32,0,0,-10.0
62,77,9,2,10.0
84,23,8,2,0.52
31,21,3,1,10.0
86,51,5,2,-0.119999886
32,100,5,0,10.0
66,86,2,0,10.0
17,5,0,2,-6.6
24,18,5,2,5.0
94,75,9,0,-7.68
53,89,4,2,10.0
57,28,3,0,10.0
66,63,8,0,10.0
45,13,3,1,10.0
23,80,0,0,10.0
31,29,9,1,10.0
46,70,5,2,10.0
85,20,6,1,-9.8
22,64,0,2,5.0
65,3,8,2,10.0
26,45,9,1,15.0
1,7,1,2,-15.0
89,17,6,2,-1.0799999
16,59,10,0,-2.1333334
32,44,7,0,10.0
8,71,7,0,-6.4
42,94,0,2,10.0
47,30,9,1,10.0
38,27,0,1,10.0
92,63,9,2,-2.04
41,36,3,1,10.0
25,66,1,2,5.0
98,78,9,0,-10.0
49,67,3,2,10.0
24,34,5,1,15.0
23,97,2,1,15.0
12,35,9,0,-4.266667
59,56,2,1,10.0
6,69,10,2,-12.466667
56,3,0,1,10.0
35,48,4,0,10.0
44,93,6,2,10.0
19,38,10,2,-5.5333333
64,17,5,2,10.0
7,59,3,0,-6.9333334
15,85,5,1,2.3333333
13,9,2,1,1.2666667
75,92,2,0,-1.6
86,22,6,2,-0.119999886
14,67,8,0,-3.2
91,58,0,1,-11.719999
97,82,3,0,-10.0
65,89,9,0,10.0
31,6,4,1,10.0
86,12,1,1,-10.12
62,2,9,2,10.0
85,39,10,0,-4.8
50,10,2,2,10.0
24,79,4,2,5.0
57,83,7,1,10.0
62,50,2,1,10.0
61,86,2,0,10.0
21,22,5,2,5.0
57,31,7,0,10.0
57,40,0,1,10.0
85,41,6,0,-4.8
48,37,6,2,10.0
51,66,2,1,10.0
41,71,2,0,10.0
69,77,8,0,10.0
14,71,9,1,1.8
53,74,10,2,10.0
59,41,0,1,10.0
100,42,0,1,-15.0
96,32,1,1,-15.0
7,78,5,2,-11.933333
52,36,7,1,10.0
59,77,10,2,10.0
4,89,9,1,-5.0
67,56,0,0,10.0
5,63,0,2,-15.0
95,63,1,1,-15.0
93,59,6,2,-2.3600001
46,51,3,2,10.0
98,71,0,0,-10.0
54,67,7,0,10.0
39,99,3,2,10.0
51,81,6,0,10.0
15,26,10,0,-2.6666667
12,58,7,2,-9.266666
29,18,0,0,10.0
18,2,1,2,-6.0666666
16,72,1,1,2.8666666
62,38,10,2,10.0
18,65,4,1,3.9333334
91,72,4,1,-11.719999
57,55,5,1,10.0
54,5,1,0,10.0
89,27,7,2,-1.0799999
100,47,0,2,-5.0
89,97,8,0,-6.08
61,92,4,2,10.0
22,47,9,2,5.0
8,66,7,2,-11.4
11,53,7,0,-4.8
0,15,1,2,-15.0
57,34,8,0,10.0
0,74,5,1,-5.0
33,86,2,0,10.0
95,29,0,2,-5.0
47,47,8,0,10.0
88,68,2,1,-10.76
0,7,0,2,-15.0
15,50,4,2,-7.666667
60,9,7,1,10.0
63,27,6,0,10.0
62,35,4,1,10.0
68,59,1,2,10.0
21,9,1,1,15.0
92,13,2,2,-2.04
66,62,5,2,10.0
75,100,3,1,-6.6
25,46,8,1,15.0
15,68,2,1,2.3333333
50,55,5,0,10.0
100,5,3,2,-5.0
85,93,0,2,0.19999981
56,18,0,2,10.0
28,51,10,1,15.0
77,61,10,2,2.76
91,48,7,1,-11.719999
68,77,2,1,10.0
46,10,1,0,10.0
93,45,0,2,-2.3600001
61,68,7,0,10.0
68,44,8,1,10.0
75,94,0,2,3.4
15,57,7,2,-7.666667
89,31,10,2,-1.0799999
89,87,0,2,-1.0799999
47,9,9,1,10.0
84,12,1,2,0.52
38,12,0,2,10.0
99,35,1,2,-5.0
32,85,1,0,10.0
93,72,4,2,-2.3600001
100,18,9,0,-10.0
22,6,2,0,10.0
9,14,0,2,-10.866667
68,80,9,1,10.0
99,45,1,1,-15.0
33,77,3,2,10.0
51,47,6,1,10.0
94,65,0,2,-2.6799998
9,77,4,2,-10.866667
18,3,1,2,-6.0666666
57,2,7,1,10.0
95,2,1,1,-15.0
0,74,3,2,-15.0
68,68,5,2,10.0
3,92,8,1,-5.0
15,27,9,2,-7.666667
23,22,3,0,10.0
79,29,3,0,-2.88
1,61,6,1,-5.0
91,86,0,0,-6.72
31,50,4,1,10.0
90,40,4,0,-6.4
83,85,0,1,-9.16
23,63,5,0,10.0
11,42,8,1,0.19999981
49,75,6,0,10.0
34,90,1,2,10.0
32,57,3,1,10.0
32,58,7,2,10.0
60,39,0,1,10.0
50,45,5,1,10.0
42,61,2,1,10.0
100,48,2,2,-5.0
11,78,0,1,0.19999981
66,22,7,1,10.0
64,43,4,1,10.0
32,43,0,0,10.0
39,18,4,2,10.0
73,43,4,1,-5.96
42,10,10,2,10.0
43,59,8,2,10.0
28,37,9,0,10.0
12,2,2,2,-9.266666
11,15,8,0,-4.8
94,95,7,2,-2.6799998
45,8,9,0,10.0
1,40,1,0,-10.0
34,37,8,2,10.0
86,68,10,2,-0.119999886
80,64,4,1,-8.2
89,34,7,0,-6.08
7,34,7,2,-11.933333
92,75,3,1,-12.04
25,99,0,2,5.0
73,84,10,0,-0.96
89,47,8,1,-11.08
33,7,5,2,10.0
6,26,1,1,-2.4666667
67,8,3,2,10.0
57,91,10,2,10.0
74,29,9,0,-1.28
28,13,4,1,15.0
35,22,5,2,10.0
88,28,4,2,-0.7600002
20,25,8,1,15.0
35,85,9,1,10.0
9,14,10,1,-0.8666668
100,72,1,1,-15.0
72,89,10,0,-0.64
23,80,2,0,10.0
63,72,9,0,10.0
98,66,10,1,-15.0
48,15,2,0,10.0
98,12,2,2,-5.0
35,89,5,0,10.0
81,80,7,2,1.48
95,95,4,2,-5.0
23,23,10,0,10.0
22,61,5,2,5.0
61,56,0,2,10.0
95,35,9,0,-10.0
36,59,2,2,10.0
11,85,3,0,-4.8
54,72,10,1,10.0
12,21,6,1,0.7333331
22,83,10,2,5.0
88,2,4,2,-0.7600002
98,35,0,2,-5.0
29,96,2,0,10.0
16,81,10,1,2.8666666
61,35,1,1,10.0
83,9,5,1,-9.16
88,99,4,1,-10.76
85,20,2,2,0.19999981
12,88,1,1,0.7333331
58,48,0,1,10.0
18,8,1,2,-6.0666666
48,90,4,2,10.0
99,78,4,0,-10.0
11,51,8,2,-9.8
60,95,5,1,10.0
18,47,2,1,3.9333334
75,59,9,1,-6.6
8,49,10,0,-6.4
70,38,2,0,10.0
27,15,2,0,10.0
77,27,7,2,2.76
94,5,8,1,-12.68
51,60,2,0,10.0
82,5,0,1,-8.84
15,65,10,0,-2.6666667
68,39,7,2,10.0
98,70,9,2,-5.0
11,90,1,1,0.19999981
24,61,6,1,15.0
51,27,6,0,10.0
84,79,8,1,-9.48
99,46,7,1,-15.0
52,8,10,1,10.0
22,51,8,1,15.0
15,14,0,1,2.3333333
56,33,2,1,10.0
38,19,3,2,10.0
52,77,2,0,10.0
41,59,7,2,10.0
57,57,6,1,10.0
38,74,4,1,10.0
13,93,4,1,1.2666667
94,66,3,1,-12.68
4,1,4,0,-10.0
34,49,4,0,10.0
86,13,3,1,-10.12
92,55,4,0,-7.04
74,92,6,2,3.72
17,68,8,0,-1.6
75,43,6,1,-6.6
8,45,0,1,-1.4000001
73,5,8,1,-5.96
57,7,2,2,10.0
16,38,1,1,2.8666666
6,92,9,1,-2.4666667
45,43,8,2,10.0
12,26,10,2,-9.266666
39,15,1,2,10.0
41,90,9,2,10.0
8,38,8,0,-6.4
49,0,4,0,10.0
26,50,5,0,10.0
65,62,6,2,10.0
4,32,6,2,-15.0
28,49,3,2,5.0
36,53,3,1,10.0
37,26,4,1,10.0
82,80,8,1,-8.84
7,78,9,0,-6.9333334
64,85,0,1,10.0
85,18,7,2,0.19999981
16,27,7,0,-2.1333334
70,22,6,2,10.0
88,63,5,0,-5.76
44,99,10,1,10.0
3,38,2,2,-15.0
35,48,10,2,10.0
69,58,7,0,10.0
30,19,6,0,10.0
18,60,7,1,3.9333334
60,8,1,2,10.0
53,22,7,0,10.0
38,6,6,0,10.0
90,30,5,1,-11.4
73,59,8,2,4.04
89,60,7,1,-11.08
18,74,4,1,3.9333334
38,80,4,2,10.0
66,99,8,2,10.0
44,25,7,1,10.0
12,99,3,2,-9.266666
91,81,8,0,-6.72
57,53,10,2,10.0
19,30,5,2,-5.5333333
91,98,4,0,-6.72
71,40,9,0,-0.32
60,27,6,0,10.0
38,89,8,1,10.0
0,5,0,2,-15.0
2,33,8,0,-10.0
76,91,9,0,-1.92
91,8,4,0,-6.72
61,92,8,1,10.0
62,97,4,0,10.0
24,11,6,2,5.0
55,15,6,0,10.0
32,70,8,0,10.0
37,30,4,1,10.0
5,32,6,0,-10.0
57,6,4,0,10.0
43,2,3,1,10.0
44,19,0,1,10.0
31,4,10,1,10.0
44,66,4,2,10.0
60,37,3,0,10.0
46,78,10,2,10.0
20,98,0,0,10.0
79,55,9,1,-7.88
84,22,0,2,0.52
74,96,4,1,-6.2799997
100,1,8,1,-15.0
35,99,0,1,10.0
98,20,7,1,-15.0
18,77,8,2,-6.0666666
19,13,10,1,4.4666667
56,61,10,1,10.0
17,10,9,1,3.4
46,3,3,0,10.0
48,46,7,0,10.0
13,93,0,2,-8.733334
14,99,3,1,1.8
30,19,9,1,10.0
0,51,1,2,-15.0
53,15,9,2,10.0
2,97,3,0,-10.0
15,44,1,0,-2.6666667
86,7,2,2,-0.119999886
56,61,0,1,10.0
74,83,9,1,-6.2799997
11,20,2,1,0.19999981
73,63,6,1,-5.96
95,29,10,0,-10.0
15,35,7,1,2.3333333
71,4,5,2,4.68
75,84,0,1,-6.6
23,37,6,0,10.0
27,86,2,1,15.0
7,18,8,1,-1.9333334
91,73,10,0,-6.72
35,26,1,0,10.0
89,98,8,0,-6.08
7,12,9,1,-1.9333334
57,8,1,2,10.0
59,16,1,2,10.0
49,94,3,0,10.0
27,43,1,2,5.0
91,44,6,0,-6.72
100,87,2,2,-5.0
40,41,10,1,10.0
99,50,3,2,-5.0
63,82,0,2,10.0
26,57,9,1,15.0
62,57,3,2,10.0
16,29,3,0,-2.1333334
72,4,3,0,-0.64
32,7,10,2,10.0
83,36,8,0,-4.16
76,46,2,0,-1.92
91,99,6,1,-11.719999
28,88,3,1,15.0
12,44,10,0,-4.266667
45,4,0,2,10.0
34,96,9,1,10.0
5,62,2,2,-15.0
81,85,8,1,-8.52
68,46,9,0,10.0
46,24,5,1,10.0
24,49,7,2,5.0
65,92,8,0,10.0
9,44,7,1,-0.8666668
55,29,4,0,10.0
29,47,5,2,5.0
4,50,9,2,-15.0
32,93,1,2,10.0
64,54,10,0,10.0
17,54,8,0,-1.6
95,45,5,1,-15.0
48,30,7,2,10.0
10,33,6,0,-5.3333335
84,91,9,0,-4.48
25,73,1,0,10.0
62,67,1,1,10.0
88,32,4,1,-10.76
85,55,2,2,0.19999981
58,57,0,2,10.0
26,56,9,0,10.0
48,16,10,2,10.0
76,10,2,0,-1.92
32,70,6,0,10.0
97,80,9,0,-10.0
98,91,8,2,-5.0
0,16,10,0,-10.0
20,9,3,0,10.0
54,25,7,1,10.0
5,5,5,1,-5.0
91,80,3,0,-6.72
80,15,2,2,1.8
68,89,4,2,10.0
94,3,2,1,-12.68
4,61,7,1,-5.0
2,83,10,0,-10.0
52,63,5,2,10.0
22,55,10,1,15.0
100,74,5,2,-5.0
52,22,6,1,10.0
36,32,6,2,10.0
73,30,7,1,-5.96
73,6,4,0,-0.96
82,85,4,2,1.1600001
16,4,5,2,-7.133333
84,36,3,2,0.52
77,0,1,2,2.76
72,69,1,0,-0.64
0,44,1,2,-15.0
50,46,1,2,10.0
44,67,4,1,10.0
76,93,1,1,-6.92
3,29,6,2,-15.0
61,80,10,0,10.0
64,59,3,0,10.0
31,23,9,2,10.0
33,30,4,1,10.0
91,27,1,1,-11.719999
94,44,0,1,-12.68
71,3,8,0,-0.32
38,60,5,2,10.0
25,38,4,0,10.0
33,82,4,0,10.0
53,23,1,1,10.0
2,70,7,0,-10.0
49,45,3,0,10.0
11,52,3,2,-9.8
64,47,7,1,10.0
53,8,3,0,10.0
4,21,0,2,-15.0
93,1,3,0,-7.36
93,90,9,2,-2.3600001
56,15,0,1,10.0
16,4,5,2,-7.133333
46,11,1,0,10.0
22,51,10,2,5.0
78,25,8,0,-2.56
100,14,9,0,-10.0
84,66,3,2,0.52
13,72,10,0,-3.7333333
65,58,7,1,10.0
74,91,10,2,3.72
50,38,1,0,10.0
37,62,4,2,10.0
63,99,10,1,10.0
97,24,7,2,-5.0
37,40,0,2,10.0
49,27,5,0,10.0
97,20,1,2,-5.0
81,92,4,2,1.48
29,88,0,0,10.0
78,93,3,1,-7.56
90,60,2,2,-1.4000001
50,56,9,1,10.0
62,10,4,1,10.0
97,18,7,0,-10.0
51,74,8,2,10.0
37,88,4,0,10.0
96,0,8,1,-15.0
87,31,9,0,-5.44
78,84,3,2,2.44
29,76,4,0,10.0
50,33,10,1,10.0
80,16,8,1,-8.2
4,54,10,2,-15.0
28,18,8,2,5.0
3,73,1,1,-5.0
9,41,4,1,-0.8666668
55,58,7,2,10.0
16,72,0,0,-2.1333334
73,74,3,2,4.04
16,37,7,0,-2.1333334
83,30,9,0,-4.16
87,65,1,2,-0.44000006
68,87,0,2,10.0
33,68,5,2,10.0
5,49,5,0,-10.0
52,29,0,0,10.0
65,34,2,2,10.0
76,58,9,0,-1.92
42,16,7,0,10.0
74,94,8,0,-1.28
22,65,7,2,5.0
54,79,0,1,10.0
79,20,10,2,2.12
94,93,3,0,-7.68
74,51,8,0,-1.28
15,64,0,0,-2.6666667
7,13,10,2,-11.933333
3,15,3,0,-10.0
3,54,9,0,-10.0
55,8,6,1,10.0
24,7,6,1,15.0
66,72,6,0,10.0
95,33,9,2,-5.0
66,32,3,0,10.0
26,85,7,0,10.0
92,93,2,0,-7.04
31,6,8,1,10.0
49,81,5,2,10.0
60,20,6,2,10.0
50,4,8,1,10.0
18,70,3,1,3.9333334
20,11,4,1,15.0
4,58,0,1,-5.0
81,80,9,1,-8.52
91,57,7,2,-1.7199998
41,87,1,2,10.0
60,36,4,1,10.0
21,82,4,1,15.0
20,44,9,2,5.0
69,79,3,2,10.0
0,24,3,2,-15.0
4,26,1,1,-5.0
11,50,2,2,-9.8
89,41,9,2,-1.0799999
45,70,1,1,10.0
33,41,0,1,10.0
48,59,3,1,10.0
77,71,8,0,-2.24
89,78,5,2,-1.0799999
44,57,7,0,10.0
26,79,1,0,10.0
72,71,1,1,-5.64
25,99,1,2,5.0
46,95,10,2,10.0
85,80,7,1,-9.8
55,99,0,2,10.0
93,21,4,0,-7.36
62,95,3,2,10.0
47,57,10,2,10.0
60,10,0,1,10.0
80,5,9,0,-3.2
25,21,6,0,10.0
35,77,0,1,10.0
0,91,5,1,-5.0
7,11,0,2,-11.933333
98,26,10,1,-15.0
51,0,8,2,10.0
78,63,2,2,2.44
46,73,1,1,10.0
55,96,6,1,10.0
85,79,0,2,0.19999981
13,38,6,0,-3.7333333
89,59,8,0,-6.08
27,69,3,2,5.0
86,53,9,1,-10.12
77,24,1,0,-2.24
87,19,3,1,-10.440001
1,35,8,1,-5.0
25,22,7,1,15.0
13,79,4,0,-3.7333333
58,0,7,0,10.0
55,93,6,1,10.0
6,26,3,2,-12.466667
2,51,2,1,-5.0
22,1,0,1,15.0
17,20,2,2,-6.6
37,8,7,0,10.0
98,87,8,2,-5.0
14,47,8,2,-8.2
63,38,4,2,10.0
88,41,3,1,-10.76
100,70,5,0,-10.0
27,93,6,0,10.0
73,44,5,2,4.04
38,1,4,0,10.0
56,75,1,2,10.0
16,76,2,2,-7.133333
85,66,8,1,-9.8
89,42,6,0,-6.08
43,17,9,2,10.0
24,38,1,0,10.0
16,5,0,0,-2.1333334
12,41,0,0,-4.266667
83,51,0,2,0.84000015
24,26,5,1,15.0
67,78,4,2,10.0
9,14,6,1,-0.8666668
66,18,4,0,10.0
17,61,8,0,-1.6
99,63,0,0,-10.0
85,50,8,0,-4.8
33,46,3,1,10.0
7,56,9,2,-11.933333
39,19,6,1,10.0
82,19,1,2,1.1600001
41,81,2,0,10.0
40,63,3,0,10.0
100,97,4,2,-5.0
5,100,1,0,-10.0
51,98,6,1,10.0
25,37,5,2,5.0
63,37,8,2,10.0
97,64,6,2,-5.0
58,75,9,1,10.0
55,4,9,2,10.0
58,63,1,2,10.0
69,26,2,0,10.0
100,19,2,2,-5.0
32,59,7,1,10.0
52,39,7,1,10.0
21,82,2,0,10.0
20,78,7,1,15.0
69,5,4,0,10.0
69,72,10,0,10.0
3,35,3,1,-5.0
93,86,10,2,-2.3600001
74,73,3,1,-6.2799997
61,64,3,1,10.0
61,10,0,1,10.0
93,48,10,0,-7.36
94,83,6,0,-7.68
23,27,10,1,15.0
54,21,9,1,10.0
8,83,9,0,-6.4
2,46,3,1,-5.0
30,79,1,1,10.0
39,65,0,0,10.0
100,24,2,1,-15.0
35,90,0,0,10.0
23,66,10,2,5.0
94,86,4,2,-2.6799998
5,31,5,0,-10.0
65,16,10,1,10.0
83,39,5,2,0.84000015
91,83,5,1,-11.719999
74,29,6,1,-6.2799997
3,58,0,1,-5.0
78,27,3,0,-2.56
5,46,9,2,-15.0
93,22,9,2,-2.3600001
50,82,8,1,10.0
61,56,9,1,10.0
56,88,1,0,10.0
65,87,7,2,10.0
78,0,10,2,2.44
74,91,6,0,-1.28
7,28,6,1,-1.9333334
25,49,2,2,5.0
50,63,1,1,10.0
44,98,1,1,10.0
43,80,2,2,10.0
4,74,2,2,-15.0
69,36,9,2,10.0
25,60,1,2,5.0
67,6,6,2,10.0
18,89,1,1,3.9333334
83,86,5,2,0.84000015
96,63,10,0,-10.0
19,17,4,0,-0.53333336
11,28,6,0,-4.8
46,97,10,2,10.0
0,59,10,0,-10.0
89,53,6,1,-11.08
13,71,7,2,-8.733334
63,20,3,1,10.0
37,20,9,0,10.0
36,57,4,0,10.0
10,48,9,0,-5.3333335
99,35,3,2,-5.0
76,16,6,1,-6.92
2,79,2,2,-15.0
32,52,9,2,10.0
